City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
234,Eldorado,BR,-23.7869,-54.2836,79.65,54,5,8.25,clear sky
235,Kitimat,CA,54.0524,-128.6534,63.0,52,84,2.66,broken clouds
236,Penzance,GB,50.1186,-5.5371,46.0,65,3,11.5,clear sky
237,Port Lincoln,AU,-34.7333,135.8667,57.99,83,10,5.17,clear sky
238,Fairbanks,US,64.8378,-147.7164,42.8,65,40,1.41,scattered clouds
239,Pervomayskoye,RU,43.919,46.7102,55.31,49,49,7.56,scattered clouds
240,Ouadda,CF,8.0777,22.4007,74.01,12,2,3.96,clear sky
241,Creel,MX,27.75,-107.6333,69.94,9,85,22.06,overcast clouds
242,Samarai,PG,-10.6167,150.6667,79.81,81,99,0.74,overcast clouds
243,Athabasca,CA,54.7169,-113.2854,57.2,28,1,3.44,clear sky
244,Badiraguato,MX,25.3667,-107.5167,86.0,45,40,5.75,scattered clouds
245,Sibolga,ID,1.7427,98.7792,75.99,88,78,3.24,broken clouds
246,Deputatskiy,RU,69.3,139.9,-16.8,95,91,4.59,overcast clouds
247,Road Town,VG,18.4167,-64.6167,82.4,54,20,8.05,few clouds
248,Pak Phanang,TH,8.3511,100.202,80.64,78,51,4.38,broken clouds
249,Moron,AR,-34.6534,-58.6198,78.8,53,40,3.44,scattered clouds
250,Aklavik,CA,68.2191,-135.0107,19.4,73,90,11.5,light snow
251,Chapleau,CA,47.8405,-83.4034,33.8,86,90,14.97,light snow
252,Yarega,RU,63.4354,53.5765,29.82,80,8,5.41,clear sky
253,Kilindoni,TZ,-7.9139,39.6668,79.97,80,100,12.77,light rain
254,San Martin,AR,-33.081,-68.4681,82.4,32,0,6.91,clear sky
255,Nabire,ID,-3.3667,135.4833,74.53,88,96,4.09,overcast clouds
256,Krasnoselkup,RU,65.7,82.4667,7.14,90,100,18.99,overcast clouds
257,Ossora,RU,59.2353,163.0719,32.43,98,100,8.01,light snow
258,Ijuin,JP,31.6167,130.4,56.07,72,100,7.16,overcast clouds
259,Kavaratti,IN,10.5669,72.642,83.95,71,4,6.69,clear sky
260,Codrington,AU,-38.2667,141.9667,54.59,56,100,9.46,overcast clouds
261,Gwadar,PK,25.1216,62.3254,81.14,73,63,8.79,broken clouds
262,Mokhotlong,LS,-29.2894,29.0675,50.49,52,17,1.45,few clouds
263,Najran,SA,17.4924,44.1277,84.2,20,83,4.61,dust
264,Vanimo,PG,-2.6741,141.3028,76.6,89,83,4.12,broken clouds
265,Zaporizhzhya,UA,47.8167,35.1833,46.4,93,75,11.18,broken clouds
266,Juterbog,DE,51.9833,13.0833,37.99,68,100,5.99,light rain
267,Ketchikan,US,55.3422,-131.6461,48.2,76,1,12.66,clear sky
268,Khuzhir,RU,53.1939,107.3397,24.06,82,83,7.09,broken clouds
269,Zhengjiatun,CN,43.5064,123.5064,42.75,74,100,24.79,overcast clouds
270,Morgan City,US,29.6994,-91.2068,73.0,78,90,16.11,overcast clouds
271,Luba,GQ,3.4568,8.5547,80.6,94,20,5.75,few clouds
272,Panguna,PG,-6.3164,155.4848,69.01,95,65,2.01,broken clouds
273,Topolobampo,MX,25.6,-109.05,90.0,36,40,8.05,scattered clouds
274,San Patricio,US,28.017,-97.5169,75.2,100,90,19.57,mist
275,Puerto Leguizamo,CO,-0.1934,-74.7819,83.86,70,100,1.77,light rain
276,Ankazobe,MG,-18.3167,47.1167,62.6,94,75,5.75,light rain
277,Ginda,IN,30.6945,78.4932,56.39,39,98,7.87,overcast clouds
278,Lumut,MY,4.2323,100.6298,77.0,94,20,3.27,few clouds
279,Saint-Georges,GD,12.0564,-61.7485,86.0,70,75,21.85,broken clouds
280,Port Said,EG,31.2565,32.2841,64.4,88,0,11.5,clear sky
281,Amiens,FR,49.9,2.3,41.0,75,0,8.05,clear sky
282,Kabansk,RU,52.0486,106.6528,30.2,74,40,17.9,scattered clouds
283,Buchanan,LR,5.8808,-10.0467,82.4,83,20,5.75,few clouds
284,Saint-Pierre,RE,-21.3393,55.4781,75.2,83,0,4.61,clear sky
285,Hong Gai,VN,20.956,107.0946,77.0,100,75,5.75,light rain
286,Milkovo,RU,54.7167,158.6167,33.17,97,100,5.03,light snow
287,Awjilah,LY,29.1081,21.2869,76.69,18,99,9.95,overcast clouds
288,Fomboni,KM,-12.28,43.7425,82.71,70,21,5.35,few clouds
289,Port Moresby,PG,-9.4431,147.1797,75.2,100,75,3.44,broken clouds
290,Visby,SE,57.6409,18.296,37.99,75,94,13.8,overcast clouds
291,Pingzhuang,CN,42.0372,119.2889,38.14,43,19,18.77,few clouds
292,General Roca,AR,-39.0333,-67.5833,77.0,36,0,6.91,clear sky
293,Yulara,AU,-25.2406,130.9889,60.8,88,90,5.75,overcast clouds
294,Nantucket,US,41.2835,-70.0995,46.4,76,90,20.71,overcast clouds
295,Chengde,CN,40.9725,117.9361,41.34,33,1,17.31,clear sky
